"NetworkFilename","PoseFilename","MouseID","FIdate","AgeW","AgeAtVid","Batch","body_weight","breathing_rate_depth","coat_condition","piloerection","pallor_or_cyanosis","kyphosis","hunched","body_condition","eye_discharge","changes_to_the_globe","response_to_analgesic","peri_retro_orbital_swelling","nasal_discharge","rectal_prolapse","vaginal_uterine_prolapse","diarrhea","tail_stiffening","vestibular_disturbance","gait_disorders","tremor","activity","response_to_external_stimuli","paralysis","tumors","distended_abdomen","urine","dehydration_reduced_skin_turgor","malocclusions","head_piloerection","thoracic_mass","dermatitis","NFI","temperature","CFI","FIs","alopecia","loss_of_fur_color","loss_of_whiskers","cataracts","microphthalmia","corneal_opacity","vision_loss_visual_placing","menace_reflex","righting_reflex","Sex","Diet","Tester"
"LL1-B6/2022-05-20_MFS/DO1953_DO_F_8892.avi","LL1-B6/2022-05-20_MFS/DO1953_DO_F_8892","DO-1953",2022-05-26,108,95.43,"Old",45.77,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.083333333,37.3,2.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","AL","Gaven"
"LL1-B6/2022-05-20_MFS/DO1957_DO_F_8894.avi","LL1-B6/2022-05-20_MFS/DO1957_DO_F_8894","DO-1957",2022-05-26,108,95.43,"Old",25.72,0.5,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.133333333,36.6,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","AL","Gaven"
"LL1-B6/2022-05-20_MFS/DO1958_DO_F_8895.avi","LL1-B6/2022-05-20_MFS/DO1958_DO_F_8895","DO-1958",2022-05-26,108,95.43,"Old",64.77,0.5,0.5,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0,0,0.2,37,6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","AL","Gaven"
"LL1-B6/2022-05-13_MFS/DO1975_DO_F_8906.avi","LL1-B6/2022-05-13_MFS/DO1975_DO_F_8906","DO-1975",2022-05-26,111,94.43,"Old",54.51,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.116666667,36.6,3.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","AL","Gaven"
"LL2-B6/2022-05-13_MFS/DO1979_DO_F_8907.avi","LL2-B6/2022-05-13_MFS/DO1979_DO_F_8907","DO-1979",2022-05-26,109,94.43,"Old",41.9,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.05,36.7,1.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","AL","Gaven"
"LL2-B6/2022-05-13_MFS/DO1980_DO_F_8908.avi","LL2-B6/2022-05-13_MFS/DO1980_DO_F_8908","DO-1980",2022-05-26,103,94.43,"Old",44.13,0,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,37.7,2.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","AL","Gaven"
"LL2-B6/2022-05-13_MFS/DO1982_DO_F_8909.avi","LL2-B6/2022-05-13_MFS/DO1982_DO_F_8909","DO-1982",2022-05-26,111,94.43,"Old",30.16,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.116666667,37.4,3.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","AL","Gaven"
"NV14-B7B8/2020-01-27/DO-1D-3084.avi","NV14-B7B8/2020-01-27/DO-1D-3084","DO-1D-3084",2020-01-27,175,172.8571429,"Old",22.84,0.5,0.5,1,0.5,1,1,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,1,1,0,0,1,0,0,0.333333333,32.7,10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","1D","Gaven"
"NV15-B7B8/2020-01-27/DO-1D-3092.avi","NV15-B7B8/2020-01-27/DO-1D-3092","DO-1D-3092",2020-01-27,175,172.8571429,"Old",23.93,0,0.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0.108333333,35.6,3.25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","1D","Gaven"
"NV14-B7B8/2019-12-30/DO-1D-3104.avi","NV14-B7B8/2019-12-30/DO-1D-3104","DO-1D-3104",2020-01-02,150,145.4285714,"Old",27.85,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,36,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","1D","Gaven"
"NV15-B7B8/2019-12-30/DO-1D-3110.avi","NV15-B7B8/2019-12-30/DO-1D-3110","DO-1D-3110",2020-01-02,157,145.4285714,"Old",33.79,0,0.5,1,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.15,36.6,4.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","1D","Gaven"
"NV15-B7B8/2020-03-30/DO-1D-3111.avi","NV15-B7B8/2020-03-30/DO-1D-3111","DO-1D-3111",2020-04-05,161,158.8571429,"Old",29.69,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.116666667,36.2,3.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","1D",NA
"NV14-B7B8/2019-12-30/DO-1D-3111.avi","NV14-B7B8/2019-12-30/DO-1D-3111","DO-1D-3111",2020-01-02,161,145.4285714,"Old",29.12,0.5,0.5,1,0.5,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,1,1,1,0,0,0,0,0.35,36.4,10.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","1D","Gaven"
"NV15-B7B8/2019-12-30/DO-1D-3112.avi","NV15-B7B8/2019-12-30/DO-1D-3112","DO-1D-3112",2020-01-02,148,145.4285714,"Old",34.03,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0.15,36.8,4.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","1D","Gaven"
"NV15-B7B8/2020-02-03/DO-1D-3114.avi","NV15-B7B8/2020-02-03/DO-1D-3114","DO-1D-3114",2020-02-03,160,147,"Old",29.76,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,36.5,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","1D","Gaven"
